filename,location,dataset,num_annotators,time_h,time_min,time_sec,total_duration,washing_duration,movement_1,movement_2,movement_3,movement_4,movement_5,movement_6,movement_7,movement_0,ring,armband,long_nails
2020-07-03_01-43-21_camera101.mp4,Ķirurģija,DataSet1,2.0,1.0,43.0,21.0,20.6,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,12.5,0.0,0.0,0.0
2020-07-03_08-38-53_camera101.mp4,Ķirurģija,DataSet1,2.0,8.0,38.0,53.0,30.1,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,20.3,0.0,0.0,0.0
2020-07-04_02-12-05_camera101.mp4,Ķirurģija,DataSet1,2.0,2.0,12.0,5.0,23.6,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,11.0,0.0,0.0,0.0
2020-07-04_08-09-33_camera101.mp4,Ķirurģija,DataSet1,2.0,8.0,9.0,33.0,39.2,25.3,4.3,5.0,0.0,2.3,3.9,0.0,0.2,9.6,0.0,0.0,0.0
2020-07-05_03-46-19_camera101.mp4,Ķirurģija,DataSet1,2.0,3.0,46.0,19.0,21.2,8.5,2.6,0.0,0.0,0.0,0.0,0.0,0.1,5.7,0.0,0.0,0.0
2020-07-06_04-54-01_camera101.mp4,Ķirurģija,DataSet1,2.0,4.0,54.0,1.0,24.0,13.8,0.7,0.0,0.0,0.9,0.0,0.0,0.0,12.2,0.0,1.0,0.0
2020-07-08_00-57-43_camera101.mp4,Ķirurģija,DataSet1,2.0,0.0,57.0,43.0,42.1,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0
2020-07-08_10-51-07_camera101.mp4,Ķirurģija,DataSet1,2.0,10.0,51.0,7.0,57.3,44.3,3.2,2.8,0.0,1.3,0.0,0.0,0.0,37.1,0.0,0.0,0.0
2020-07-09_01-00-04_camera101.mp4,Ķirurģija,DataSet1,1.0,1.0,0.0,4.0,14.4,2.9,1.1,0.0,0.1,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0
2020-07-09_04-10-08_camera101.mp4,Ķirurģija,DataSet1,2.0,4.0,10.0,8.0,53.9,34.8,1.8,3.6,2.2,0.0,2.5,2.6,0.0,22.2,0.0,0.0,0.0
2020-07-09_11-09-53_camera101.mp4,Ķirurģija,DataSet1,2.0,11.0,9.0,53.0,46.6,32.0,4.5,3.7,2.0,1.8,4.3,0.9,0.0,14.8,0.0,0.0,0.0
2020-07-11_02-45-56_camera101.mp4,Ķirurģija,DataSet1,2.0,2.0,45.0,56.0,26.6,23.6,5.3,8.0,4.9,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0
2020-07-11_02-46-41_camera101.mp4,Ķirurģija,DataSet1,2.0,2.0,46.0,41.0,30.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0
2020-07-11_03-18-24_camera101.mp4,Ķirurģija,DataSet1,2.0,3.0,18.0,24.0,32.2,19.0,2.4,4.7,0.0,0.0,2.8,0.0,0.2,8.9,0.0,0.0,0.0
2020-07-11_05-30-48_camera101.mp4,Ķirurģija,DataSet1,2.0,5.0,30.0,48.0,56.8,42.3,3.5,3.4,5.4,8.0,7.2,4.4,0.2,10.1,0.0,0.0,0.0
2020-07-11_06-43-43_camera101.mp4,Ķirurģija,DataSet1,2.0,6.0,43.0,43.0,45.4,37.2,1.6,3.9,4.7,3.1,4.1,3.9,0.2,15.7,0.0,0.0,0.0
2020-07-13_03-16-11_camera101.mp4,Ķirurģija,DataSet1,1.0,3.0,16.0,11.0,26.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
2020-07-14_02-27-13_camera101.mp4,Ķirurģija,DataSet1,2.0,2.0,27.0,13.0,25.6,9.5,1.3,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0
